iteration	x_k	y_k	f(x_k,y_k)
0	-0	0	0
1	-0.3	0	-0.8676
2	-0.4284	0.015	-1.15667
3	-0.472326	0.02496	-1.22906
4	-0.489063	0.0302401	-1.25223
5	-0.496305	0.0329187	-1.26148
6	-0.49967	0.0342639	-1.26562
7	-0.501293	0.0349376	-1.26758
8	-0.502089	0.0352746	-1.26853
9	-0.502484	0.0354432	-1.269
10	-0.50268	0.0355275	-1.26923
11	-0.502778	0.0355697	-1.26935
12	-0.502827	0.0355907	-1.26941
13	-0.502851	0.0356013	-1.26944
14	-0.502863	0.0356065	-1.26945
15	-0.50287	0.0356092	-1.26946
16	-0.502873	0.0356105	-1.26946
17	-0.502874	0.0356111	-1.26946
18	-0.502875	0.0356115	-1.26947
